Id,Predicted
0,3163.2315938499287
1,2766.923448158082
2,3459.8374315454575
3,1980.4211237172449
4,2685.2680956896484
5,2044.0650026476114
6,2180.7934650027246
7,3419.1664787481145
8,2720.6493505917406
9,4050.3971188909054
10,2104.5063628527523
11,2768.7428375136715
12,2851.1002677047286
13,2506.086750907493
14,2204.1746120349944
15,2650.5960294681713
16,2038.0358690941794
17,2686.5298655056536
18,2407.562591147937
19,2918.3913845720635
20,1835.6058975788796
21,2853.1394774585497
22,2356.9556852222076
23,2867.739823925724
24,3027.765521390435
25,1988.154416635134
26,2440.6841411704263
27,2521.376339126527
28,2345.3113437747766
29,3214.0884858056206
30,3054.582685602368
31,2476.15685955592
32,2216.722598903215
33,2453.724362937068
34,1969.4999653879709
35,2068.420484066576
36,1534.8303437189534
37,2575.4998496792327
38,2952.3248258347207
39,3029.444122198272
40,1987.8686134414706
41,2963.220612291712
42,2885.1300062200257
43,2837.8084537547493
44,1859.223083579205
45,3251.567720216269
46,2331.6123842513616
47,2344.789817210415
48,2127.048899733329
49,1861.8492929862675
50,1888.0950380999298
51,2638.66085265268
52,2347.502438634115
53,1665.5389469392408
54,1908.4318364331964
55,3403.276505933126
56,2895.9312289428176
57,2957.360697337314
58,2273.022432574008
59,2973.377905195287
60,2332.447899936053
61,2325.935457914838
62,2903.8869718964283
63,2331.4534188791326
64,2859.6943043043916
65,2866.252064109007
66,2550.5111532579463
67,2581.1741411346293
68,2359.968095167521
69,2758.6109920425924
70,1755.0222286888488
71,2173.424725443464
72,2857.788535774089
73,2069.103660875869
74,2703.4324939052203
75,2879.1808910113073
76,2044.701175949443
77,2162.9015912676205
78,3135.3697340152607
79,2731.9469173339544
80,2723.0435695024125
81,2557.3443734029056
82,3235.5378866644514
83,2272.5864772993523
84,2370.0635212257152
85,2392.3649717096887
86,3188.724229160407
87,2353.617803392112
88,1983.7214762937656
89,2468.8523252629984
90,2792.209567297282
91,2438.7603512143532
92,2678.2630006689674
93,1909.2178468992145
94,4173.167876733852
95,2464.6370593857623
96,2666.377054416924
97,2105.2431116811736
98,2654.978017032304
99,2484.587679643694
100,2813.498888387109
101,3169.5373201988396
102,2856.79834766378
103,3264.988784946822
104,2265.313534323629
105,4193.494281462706
106,1896.5747424612923
107,2165.6427753129224
108,3020.343863897713
109,2434.9098473085187
110,1646.4036094857731
111,2084.787058485769
112,3801.658911778716
113,2248.838046578724
114,1984.6820750662528
115,1998.0338542001905
116,2030.0929415347068
117,2492.237816287241
118,2472.6070684061774
119,2094.8683991062526
120,3250.751935468821
121,2540.0906227630385
122,3826.6327396312045
123,2748.5589095872256
124,2534.885509171209
125,2919.684810445678
126,2426.737183607914
127,2002.623656070246
128,2888.005452387731
129,3139.776448646332
130,4325.02951720121
131,1858.942669821358
132,3386.446070466137
133,3160.5559305625798
134,2527.2014401206866
135,2026.060769996459
136,3250.751935468821
137,2917.426737111913
138,2441.8555644010585
139,2070.1884235578973
140,2990.7596984622915
141,3555.0683925167104
142,1953.962907421784
